date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-06-13,3134.05,3145.61,3066.34,3065.77,929759.5,-97.65,-3.09,3155.1,3140.192,3107.059,832763.14,877963.92,750025.72
2016-06-08,3171.81,3174.97,3163.99,3148.35,762917.75,-13.06,-0.41,3175.252,3139.979,3108.249,818818.09,845380.96,742920.6
2016-06-07,3182.44,3186.62,3177.05,3168.18,689283.12,-1.74,-0.06,3174.564,3129.503,3104.19,892531.51,825741.98,745671.84
2016-06-06,3192.78,3197.22,3178.79,3168.55,766937.5,-10.54,-0.33,3173.066,3118.154,3098.793,1032401.11,815548.06,745632.66
2016-06-03,3172.95,3201.75,3189.33,3162.09,1014917.81,22.23,0.7,3150.65,3108.997,3093.134,1005210.77,798551.53,756901.02
2016-06-02,3158.03,3168.82,3167.1,3151.07,860034.25,6.55,0.21,3125.284,3097.886,3090.185,923164.71,753140.59,760495.25
2016-06-01,3172.96,3181.79,3160.55,3159.82,1131484.88,-9.01,-0.28,3104.706,3087.426,3092.526,871943.82,727581.33,754860.38
2016-05-31,3068.6,3170.93,3169.56,3068.6,1388631.12,102.85,3.35,3084.442,3078.175,3094.972,758952.45,697148.21,743717.33
2016-05-30,3056.31,3075.26,3066.71,3037.66,630985.81,4.21,0.14,3063.242,3069.821,3097.171,598695.0,623563.23,723368.2
2016-05-27,3059.73,3073.76,3062.5,3052.18,604687.5,-1.71,-0.06,3067.344,3072.681,3101.673,591892.28,619926.5,720833.79
2016-05-26,3056.6,3072.52,3064.21,3027.44,603929.81,4.98,0.16,3070.488,3073.925,3106.577,583116.46,622087.51,725534.75
2016-05-25,3079.75,3089.1,3059.23,3054.87,566528.0,-4.33,-0.14,3070.146,3076.518,3111.662,583218.84,640460.25,725340.34
2016-05-24,3083.24,3083.26,3063.56,3052.59,587343.88,-23.66,-0.77,3071.908,3078.876,3117.659,635343.98,665601.71,726524.3
2016-05-23,3078.52,3098.48,3087.22,3076.5,596972.19,9.0,0.29,3076.4,3079.431,3122.582,648431.45,675717.26,730916.78
2016-05-20,3047.78,3078.53,3078.22,3041.52,560808.44,15.72,0.51,3078.018,3077.271,3126.966,647960.73,715250.51,739607.42
2016-05-19,3060.34,3086.98,3062.5,3058.15,604441.69,-5.54,-0.18,3077.362,3082.484,3131.085,661058.55,767849.91,763943.32
2016-05-18,3071.53,3072.61,3068.04,3039.46,827153.69,-17.98,-0.58,3082.89,3097.626,3137.012,697701.66,782139.42,814825.17
2016-05-17,3095.52,3105.2,3086.02,3073.46,652781.25,-9.29,-0.3,3085.844,3111.768,3145.525,695859.44,790286.46,813903.2
2016-05-16,3064.53,3095.56,3095.31,3053.66,594618.56,20.37,0.66,3082.462,3124.52,3152.646,703003.06,823173.17,829809.18
2016-05-13,3081.68,3103.1,3074.94,3064.69,626297.56,-15.2,-0.49,3076.524,3130.664,3161.491,782540.3,821741.09,849982.01
2016-05-12,3059.38,3095.35,3090.14,3035.02,787657.25,7.33,0.24,3087.606,3139.228,3171.536,874641.26,828981.99,875245.8
2016-05-11,3080.64,3102.88,3082.81,3063.09,817942.56,13.7,0.45,3112.362,3146.806,3180.098,866577.18,810220.42,933669.87
2016-05-10,3055.21,3084.72,3069.11,3055.18,688499.38,3.49,0.11,3137.692,3156.441,3186.88,884713.48,787446.89,939207.46
2016-05-09,3115.43,3115.43,3065.62,3055.01,992304.75,-64.73,-2.07,3166.578,3165.733,3194.929,943343.28,786116.31,967388.84
2016-05-06,3213.14,3216.89,3130.35,3130.15,1086802.38,-83.57,-2.6,3184.804,3176.661,3200.935,860941.88,763964.33,968276.42
2016-05-05,3204.17,3217.28,3213.92,3196.57,747336.81,4.46,0.14,3190.85,3179.686,3204.882,783322.72,760036.74,970141.03
2016-05-04,3203.47,3222.88,3209.46,3198.29,908624.06,-4.08,-0.13,3181.25,3176.397,3207.062,753863.66,847510.92,992872.34
2016-05-03,3159.82,3218.49,3213.54,3151.4,981648.38,56.79,1.8,3175.19,3179.281,3209.814,690180.31,837519.95,1020465.02
2016-04-29,3153.54,3171.29,3156.75,3149.4,580297.75,-3.83,-0.12,3164.888,3180.772,3210.231,628889.34,836445.18,1030443.67
2016-04-28,3169.33,3174.77,3160.58,3135.64,698706.62,-5.34,-0.17,3168.518,3192.318,3213.298,666986.77,878222.94,1062204.82
2016-04-27,3181.93,3188.83,3165.92,3162.69,600041.5,-13.24,-0.42,3168.522,3203.843,3216.083,736750.75,921509.6,1086170.75
2016-04-26,3159.77,3181.1,3179.16,3150.4,590207.31,17.13,0.54,3171.544,3213.389,3214.558,941158.17,1057119.31,1104816.05
2016-04-25,3164.74,3172.27,3162.03,3137.11,675193.5,-12.87,-0.41,3183.372,3217.318,3214.086,984859.59,1090968.02,1127026.65
2016-04-22,3142.56,3175.38,3174.9,3137.99,770784.94,14.3,0.45,3196.656,3224.125,3215.876,1044001.03,1148661.38,1141964.64
2016-04-21,3160.8,3198.56,3160.6,3150.94,1047526.5,-20.43,-0.64,3216.118,3225.208,3216.223,1089459.1,1172588.51,1169990.96
2016-04-20,3244.14,3248.42,3181.03,3107.37,1622078.62,-57.27,-1.77,3239.164,3230.077,3219.998,1106268.45,1180245.32,1180454.27
2016-04-19,3243.97,3250.73,3238.3,3221.58,808714.38,9.85,0.3,3255.234,3237.727,3222.236,1173080.45,1138233.76,1179860.79
2016-04-18,3252.67,3252.67,3228.45,3221.66,970900.69,-43.76,-1.34,3251.264,3240.346,3222.793,1197076.45,1203410.1,1256059.81
2016-04-15,3279.86,3282.98,3272.21,3261.73,998075.31,-3.62,-0.11,3251.594,3239.69,3219.968,1253321.74,1224442.17,1306166.06
2016-04-14,3277.1,3286.07,3275.83,3252.05,1131573.25,14.45,0.44,3234.298,3234.278,3212.568,1255717.92,1246186.71,1317093.18
2016-04-13,3237.86,3296.52,3261.38,3237.86,1956138.62,42.93,1.33,3220.99,3228.323,3203.278,1254222.2,1250831.9,1322882.74
2016-04-12,3227.37,3232.26,3218.45,3198.9,928694.38,-11.65,-0.36,3220.22,3215.726,3193.948,1103387.07,1152512.79,1274231.78
2016-04-11,3213.51,3251.57,3230.1,3213.51,1252127.12,44.37,1.39,3229.428,3210.854,3186.31,1209743.75,1163085.28,1286351.39
2016-04-08,3189.85,3197.77,3185.73,3163.31,1010056.25,-23.56,-0.73,3227.786,3207.626,3175.719,1195562.6,1135267.9,1260411.82
